Old_ID,new_IDFULL
98000009,98203504-rnf14
98000148,98201612-herc4-12
98000150,98202629-notc4
98000170,98203909-serc3
98000188,98204170-star
98000224,98203013-ppm1h
98000254,98202339-med7
98000282,98208702-zn721
98000350,98208202-wee1
98000351,98202328-mdhc
98000398,98201760-ing4
98000461,98200262-ap1s2
98000485,98202908-pinx1
98000587,98202973-pp2ba-8
98000644,98204399-thim
98000657,98200180-adrb2-5
98000686,98203240-rgs8
98000688,98203472-rm51
98000689,98204852-unknown-10350
98000690,98201652-hpgds-32
98000742,98201176-etv1
98000846,98200369-bakor
98000868,98200297-armc1
98000879,98202463-mshr
98000883,98204499-tom40
98000892,98204853-unknown-9651
98000980,98201388-gga1
98001101,98201667-hpln1
98001146,98204854-unknown-11579
98001160,98204234-taar2-2
98001163,98204034-snpc4
98001201,98203687-s18b1-78
98001247,98201402-gkap1
98001269,98204037-snx13
98001276,98208285-zfy
98001306,98204320-tbx2
98001389,98201870-kcnt2-4
98001403,98200424-c1glt
98001416,98204119-src
98001445,98204370-tff1
98001473,98201244-fhi1a
98001533,98201856-kcd15
98001539,98204816-uck2
98001573,98202602-nkx22
98001588,98203829-s6a17
98001607,98201638-hnrl1
98001622,98203858-sc5a8-6
98001653,98204855-unknown-11296
98001662,98201744-ilk
98001715,98201398-gima8
98001741,98204507-tpc
98001784,98203831-saal1
98001800,98200840-cybr1
98001888,98204270-tbb2b-11
98001920,98204856-unknown-9652
98001934,98204857-unknown-11220
98001997,98203532-rpgf4
98002025,98203806-s35b2
98002058,98201355-gatb
98002106,98204376-tgfr1
98002166,98201794-jerkl-2
98002234,98201464-gpan1
98002252,98200199-agrb3
98002288,98200458-camp2-2
98002328,98203527-rpb2
98002338,98203813-s35f5
98002499,98204858-unknown-9653
98002508,98204132-srsf4-5
98002530,98204676-trim8-3
98002542,98201239-fem1b
98002554,98201924-kpb1
98002635,98204859-unknown-10883
98002675,98204860-unknown-10171
98002694,98204861-unknown-9654
98002733,98208493-zn277
98002911,98204208-syic
98002913,98200891-ddah1
98003018,98208196-wdr61
98003045,98201671-hs105
98003059,98204862-unknown-11853
98003067,98200790-csdc2
98003149,98204863-unknown-11255
98003151,98204864-unknown-10095
98003173,98201826-kbp
98003224,98204578-tri45-4
98003308,98200266-ap5m1
98003361,98202822-pex5
98003395,98201933-krit1
98003413,98202390-mk67i
98003482,98204626-tri56-8
98003491,98204865-unknown-10169
98003647,98204866-unknown-11798
98003664,98202438-mrp1-16
98003691,98200735-cp2b6-3
98003773,98203022-pr38b
98003781,98204867-unknown-11755
98003786,98201793-jard2
98003815,98202614-noc2l
98003822,98204868-unknown-10164
98003867,98200311-ascc3
98003972,98200577-cecr2
98003996,98204282-tbb4b-9
98004026,98201357-gbp2
98004046,98202622-nop53
98004087,98200612-cfa57
98004089,98208219-xpot
98004107,98204508-tpc13
98004115,98204813-ubr2
98004124,98200780-cpt2-3
98004132,98202346-melk
98004189,98201775-iqub
98004194,98201767-int7
98004227,98201883-kdm5a
98004249,98202368-mgat1
98004290,98204869-unknown-12585
98004300,98200382-bin3
98004315,98204194-sun1
98004382,98204870-unknown-11237
98004407,98204871-unknown-11829
98004426,98201322-fyco1-2
98004448,98202350-met14
98004503,98201191-f133a
98004624,98201426-glra3-7
98004664,98201782-isy1
98004704,98203530-rpc5
98004773,98204872-unknown-11972
98004793,98202146-lrp1b-5
98004808,98203349-rl23-2
98004942,98203869-scaf8
98004963,98200846-cyta-3
98005013,98204873-unknown-11222
98005039,98200942-dlg1
98005048,98200306-asah1
98005166,98208803-zw10
98005184,98201429-glrx2-6
98005205,98201230-fbxl7-13
98005232,98204874-unknown-12773
98005240,98202600-nk3r-5
98005252,98200904-ddx5-2
98005318,98204875-unknown-12140
98005373,98204876-unknown-12850
98005458,98201242-fgfr3-2
98005703,98200399-brd7
